TIMESTAMP_1,TIMESTAMP_2,TIMESTAMP_3,TIMESTAMP_4,Ta_1_1_1,Pa_1_1_1,CO2Sig_1_1_1,H2OSig_1_1_1,RawDist_1_1_1,QualNR_1_1_1,TempCorDist_1_1_1,SnowDepth_1_1_1
yyyy,ddd,HH,MM,C,kPa,arb,arb,NA,NA,NA,NA
2018,344,16,00,-2.534134,72.99502,0.9039073,0.8165057,2.784333,220,2.771387,0.4286124
2018,344,16,30,-3.13205,72.98188,0.9039398,0.8165091,2.784833,234,2.76882,0.4311799
2018,344,17,00,-3.54952,72.94871,0.9040475,0.8166577,2.794,206.3333,2.775786,0.4242139
2018,344,17,30,-4.145645,72.96348,0.9043062,0.8170035,2.800333,213.3333,2.779001,0.4209993
2018,344,18,00,-4.58519,72.96941,0.9044911,0.8172934,2.802167,213.6667,2.778548,0.4214514
2018,344,18,30,-4.640401,72.97202,0.904444,0.8171836,2.802,204,2.778097,0.4219029
2018,344,19,00,-5.181956,72.973,0.904584,0.8174155,2.81,206.5,2.783217,0.4167829
2018,344,19,30,-5.755529,72.96893,0.9047645,0.8176541,2.810666,195.3333,2.780897,0.4191029
2018,344,20,00,-5.269338,72.94637,0.9048507,0.8177888,2.805667,206.6667,2.778473,0.4215269
2018,344,20,30,-4.603281,72.91225,0.9046941,0.8175417,2.8055,200,2.781758,0.4182422
2018,344,21,00,-3.837779,72.88827,0.9045011,0.81725,2.799666,211.8333,2.779929,0.4200709
2018,344,21,30,-3.69103,72.87715,0.9043532,0.8170533,2.801167,198.6667,2.782175,0.4178245
2018,344,22,00,-5.165777,72.84156,0.9044438,0.8171675,2.807667,198.1667,2.780988,0.4190117
2018,344,22,30,-4.76857,72.79025,0.9045292,0.8173215,2.802333,214,2.777761,0.4222392
2018,344,23,00,-3.005656,72.74339,0.9042797,0.8169518,2.796666,205.8333,2.781236,0.4187638
2018,344,23,30,-2.133911,72.75838,0.904201,0.816771,2.788333,213.3333,2.777419,0.4225812
2018,345,00,00,-2.442098,72.75529,0.9040325,0.8165804,2.786833,199,2.774348,0.4256523
2018,345,00,30,-3.218801,72.77707,0.9041348,0.8167203,2.789,187.8333,2.772517,0.4274829
2018,345,01,00,-3.698664,72.76559,0.9042457,0.8169034,2.790333,187.1667,2.771377,0.4286231
2018,345,01,30,-4.416372,72.76761,0.9042988,0.8169677,2.792666,186.5,2.769997,0.4300025
2018,345,02,00,-4.761617,72.78547,0.9042323,0.8169305,2.794167,187.5,2.769705,0.4302948
2018,345,02,30,-4.688029,72.79941,0.9043148,0.816984,2.794667,184.6667,2.77058,0.4294203
2018,345,03,00,-4.157211,72.80122,0.9042705,0.8169391,2.790833,184.1667,2.769514,0.4304858
2018,345,03,30,-3.970556,72.80325,0.9042479,0.8168862,2.790833,181.8333,2.770475,0.4295253
